dist,TFA_r,AMA_r
0.0,-1.5519493003249312,1.708074270938868
50.0,-1.4712989772399319,1.9732427459134865
100.0,-1.1429491050720062,2.3297141846469
150.0,-2.0406169766705418,2.6896578703859313
200.0,-0.3521362139217279,2.349733561488645
250.0,-0.47646089080670095,1.467504341887862
300.0,-0.7728527877334872,1.8253198952785412
350.0,-1.6957849206532831,2.257129954668326
400.0,-0.20250151573864247,2.613283961712663
450.0,-1.4076844579152274,2.59911624621232
500.0,-0.5036657225425256,1.5578336332318967
550.0,-0.8275892613597882,2.245908227775815
600.0,-1.2986769190545706,1.489536070350328
650.0,-1.189838814868179,3.2229026893848927
700.0,-0.23998413465579135,2.0387373207403647
750.0,-0.9173407085480518,2.210539718412517
800.0,-1.1829428129197679,1.9441762079710057
850.0,-0.37953949735894255,1.5444611205163508
900.0,-2.0807751339383422,2.8544247328161974
950.0,-1.3387265356529379,1.5242309037419857
1000.0,-0.6706830785353608,1.3567106999489265
1050.0,-1.4697131313566087,1.941653020212368
1100.0,-1.8678613795698868,2.466943923559164
1150.0,-0.6624422632971694,1.1058606354746985
1200.0,-1.4036308555778683,2.0652717786411725
1250.0,-1.5283992143390384,2.5732536782936006
1300.0,-0.4114034886842908,2.195114799907411
1350.0,-1.0137542743475487,2.523909032085136
1400.0,-0.69331822456757,1.8366019846618349
1450.0,-1.4854710740952164,2.43072908680078
1500.0,-2.144736662181085,3.480344983902531
1550.0,-1.6326424331842875,2.665263090639835
1600.0,-1.2590119873438643,3.432960646454037
1650.0,-0.6332463515273306,2.4744230024629754
1700.0,-1.650144969110278,2.4011578923381225
1750.0,-1.2931350770401606,2.05618596197142
1800.0,-1.9972665618853995,2.8128636683809543
1850.0,-1.6047422886333507,1.6066875834719878
1900.0,-2.048112077619048,3.0605090607291
1950.0,-0.984255395393659,2.646810853111047
2000.0,-1.6157472797743584,2.488112901309388
2050.0,-1.2563580148042188,2.711161496982611
2100.0,-0.36507037883780313,2.878498421900294
2150.0,-0.30169376960671435,2.165002242507914
2200.0,-0.47553347473776975,2.344488737216493
2250.0,-1.9908240788459644,2.732173450225775
2300.0,-1.1743907629763928,2.0548673500279766
2350.0,-1.3829416551860843,2.7600736648253648
2400.0,-1.441762484269544,2.53843478899124
2450.0,-1.1522263711285707,1.7632342214582704
2500.0,-0.6762655496983763,1.6443708340996948
2550.0,-0.7043193612788692,2.477583327956954
2600.0,-1.6281680609915108,2.751205981478089
2650.0,-0.40663210546844447,2.677384540250652
2700.0,-1.6527479722494087,3.3222497469903742
2750.0,-2.023008292716081,3.268185103330692
2800.0,-1.6355024019254751,3.5144608196953966
2850.0,-2.104318017336478,2.949994103269353
2900.0,-1.2944483533622848,2.1877589428570614
2950.0,-2.174888580184832,2.6529419511692
3000.0,-1.8863700039491944,2.7700586710175563
3050.0,-0.535719401592107,3.528399449872112
3100.0,-1.5629524860243347,2.7457259261509592
3150.0,-2.208676491254895,2.4939418933461246
3200.0,-0.6345244260644534,3.117715425162271
3250.0,-1.4685871931258017,2.35400645885962
3300.0,-2.359452819149109,3.3239332052887502
3350.0,-1.323209103824839,2.607001224184508
3400.0,-1.722335580360915,2.781029779276013
3450.0,-2.1638763873122016,3.005764439440731
3500.0,-1.527313531529409,2.346823888217557
3550.0,-0.5284269479425393,2.7438501140274605
3600.0,-0.5609372805229635,3.207400312263767
3650.0,-2.0838006798708326,2.8575542246224366
3700.0,-2.340752512094886,2.9187911673338687
3750.0,-1.8846059244024476,2.8887515553737937
3800.0,-0.8470882755937034,2.3620689782634208
3850.0,-0.6065077111830319,1.7592802171898223
3900.0,-2.166722717882315,2.3302204598854455
3950.0,-1.75832962733397,2.524653091953129
4000.0,-1.398125364506262,3.2344789069951294
4050.0,-0.7175030205233255,2.593866489758837
4100.0,-2.320605549060536,3.2768326512385078
4150.0,-2.5080452504769695,3.641393752256108
4200.0,-2.2035020216593963,4.018271634591512
4250.0,-2.0097243584757045,2.6853720239747254
4300.0,-0.7560422326972898,2.598234137406377
4350.0,-2.5286761112713942,3.7755657919608216
4400.0,-2.566274126779402,3.75286954958052
4450.0,-2.394532431616512,4.3993946849097325
4500.0,-1.5820865892606892,3.4219562424821097
4550.0,-2.6229182701809126,3.668248593466636
4600.0,-2.1766612141372605,3.4504140508525043
4650.0,-2.526319002829202,4.034577377345339
4700.0,-1.103718193202274,3.3033541368003023
4750.0,-0.7891274075199931,3.5583126739295694
4800.0,-1.0861700335565294,2.5011044009276087
4850.0,-2.1087736217331745,4.522964860041339
4900.0,-2.143251922579504,2.7831402002104855
4950.0,-2.290698615930987,3.4798932214109906
5000.0,-0.9061537683603945,3.295814702418894
