TFA (nT) AMA (nT)
1.665083399593787039e+00 2.139457004247735661e+00
1.672411965926617228e+00 2.148703749858802858e+00
1.679809414749259044e+00 2.158036967967245534e+00
1.687276756817284840e+00 2.167457929039724895e+00
1.694815023134199183e+00 2.176967929074455022e+00
1.702425265465836279e+00 2.186568290251827307e+00
1.710108556870590046e+00 2.196260361605104627e+00
1.717865992246051743e+00 2.206045519711912206e+00
1.725698688892649102e+00 2.215925169407295225e+00
1.733607787094911146e+00 2.225900744519115015e+00
1.741594450721004605e+00 2.235973708626616485e+00
1.749659867841217631e+00 2.246145555843028330e+00
1.757805251366091115e+00 2.256417811623071312e+00
1.766031839704939266e+00 2.266792033596331191e+00
1.774340897445516818e+00 2.277269812427445750e+00
1.782733716055632245e+00 2.287852772704130899e+00
1.791211614607544966e+00 2.298542573854106319e+00
1.799775940526008089e+00 2.309340911092014004e+00
1.808428070360872608e+00 2.320249516397490996e+00
1.817169410585191436e+00 2.331270159525598018e+00
1.826001398419817345e+00 2.342404649050852772e+00
1.834925502685534227e+00 2.353654833446199746e+00
1.843943224683783022e+00 2.365022602198258994e+00
1.853056099107136312e+00 2.376509886960321172e+00
1.862265694980675956e+00 2.388118662744558751e+00
1.871573616635528792e+00 2.399850949155036162e+00
1.880981504715835584e+00 2.411708811663157981e+00
1.890491037220509263e+00 2.423694362927260038e+00
1.900103930581194422e+00 2.435809764158148205e+00
1.909821940777906679e+00 2.448057226532459385e+00
1.919646864493896210e+00 2.460439012655807112e+00
1.929580540311361947e+00 2.472957438077779901e+00
1.939624849949707297e+00 2.485614872860939961e+00
1.949781719548124181e+00 2.498413743206093773e+00
1.960053120994362796e+00 2.511356533136191782e+00
1.970441073301647084e+00 2.524445786241353407e+00
1.980947644035782274e+00 2.537684107487611751e+00
1.991574950794606558e+00 2.551074165092118484e+00
2.002325162742042863e+00 2.564618692467671490e+00
2.013200502199119946e+00 2.578320490239579765e+00
2.024203246294446590e+00 2.592182428338019928e+00
2.035335728676750389e+00 2.606207448169207463e+00
2.046600341292226233e+00 2.620398564868863023e+00
2.057999536229576876e+00 2.634758869641650403e+00
2.069535827635772485e+00 2.649291532190419574e+00
2.081211793705715962e+00 2.663999803239319508e+00
2.093030078749166911e+00 2.678887017155031192e+00
2.104993395338453421e+00 2.693956594670608329e+00
2.117104526540665166e+00 2.709212045716636652e+00
2.129366328238264217e+00 2.724656972364689622e+00
2.141781731542200973e+00 2.740295071888294576e+00
2.154353745301882395e+00 2.756130139946940005e+00
2.167085458716567103e+00 2.772166073898918004e+00
2.179980044052986621e+00 2.788406876249128974e+00
2.193040759474297108e+00 2.804856658238314981e+00
2.206270951985694229e+00 2.821519643580524317e+00
2.219674060502374591e+00 2.838400172356011719e+00
2.233253619045790117e+00 2.855502705067150870e+00
2.247013260074528951e+00 2.872831826865407390e+00
2.260956717956462025e+00 2.890392251957804692e+00
2.275087832589219428e+00 2.908188828201885290e+00
2.289410553176435048e+00 2.926226541898605316e+00
2.303928942167638994e+00 2.944510522793198248e+00
2.318647179370141753e+00 2.963046049294602469e+00
2.333569566241721738e+00 2.981838553924679669e+00
2.348700530373486917e+00 3.000893629009113717e+00
2.364044630172790207e+00 3.020217032622583009e+00
2.379606559756715534e+00 3.039814694801557859e+00
2.395391154067253225e+00 3.059692724038876044e+00
2.411403394219980623e+00 3.079857414075126698e+00
2.427648413098785873e+00 3.100315251002775607e+00
2.444131501209924728e+00 3.121072920699953013e+00
2.460858112809573672e+00 3.142137316611905096e+00
2.477833872319875397e+00 3.163515547899190317e+00
2.495064581049474484e+00 3.185214947972973221e+00
2.512556224235519498e+00 3.207243083438998443e+00
2.530314978425221017e+00 3.229607763473276272e+00
2.548347219216222648e+00 3.252317049653959291e+00
2.566659529376300153e+00 3.275379266275516787e+00
2.585258707364243236e+00 3.298803011173019772e+00
2.604151776275248409e+00 3.322597167086197789e+00
2.623345993235679963e+00 3.346770913594919516e+00
2.642848859273776441e+00 3.371333739659889250e+00
2.662668129694646169e+00 3.396295456804639734e+00
2.682811824989859595e+00 3.421666212977396260e+00
2.703288242314065393e+00 3.447456507134051495e+00
2.724105967563271058e+00 3.473677204586364642e+00
2.745273888091923631e+00 3.500339553162627571e+00
2.766801206108524980e+00 3.527455200231384591e+00
2.788697452792386677e+00 3.555036210642425587e+00
2.810972503177201709e+00 3.583095085643201561e+00
2.833636591850446695e+00 3.611644782833056233e+00
2.856700329521239645e+00 3.640698737222267667e+00
2.880174720513188902e+00 3.670270883467882328e+00
2.904071181243007782e+00 3.700375679363725023e+00
2.928401559750281713e+00 3.731028130667831899e+00
2.953178156348751138e+00 3.762243817356938802e+00
2.978413745474942420e+00 3.794038921404567777e+00
3.004121598815831184e+00 3.826430256186784451e+00
3.030315509803712892e+00 3.859435297627916039e+00
3.057009819573413445e+00 3.893072217207435681e+00
3.084219444484619821e+00 3.927359916958960806e+00
3.111959905320451192e+00 3.962318066602941613e+00
3.140247358282474366e+00 3.997967142966234455e+00
3.169098627912313226e+00 4.034328471854413678e+00
3.198531242080871362e+00 4.071424272556592783e+00
3.228563469198106439e+00 4.109277705177709628e+00
3.259214357809314677e+00 4.147912921009860199e+00
3.290503778758236297e+00 4.187355116172637892e+00
3.322452470112942535e+00 4.227630588772374409e+00
3.355082085067806918e+00 4.268766799852376614e+00
3.388415243053786163e+00 4.310792438430436135e+00
3.422475584310191277e+00 4.353737490946675059e+00
3.457287828194182566e+00 4.397633315474285709e+00
3.492877835529628605e+00 4.442512721078210269e+00
3.529272675325108466e+00 4.488410052742836776e+00
