A0 im x0 z0
7.137545360006964756e+01 2.456946478002890188e+01 9.999296903829754228e+03 5.436722971973574658e+01
7.077676092976648192e+01 -3.639610063793904260e+01 2.000068958792835838e+04 1.528610866086421254e+02
