TFA (nT) IAVF (nT) INC (degree)
8.481579415039572911e-01 1.905640526316785266e+00 1.650609376307638243e+01
8.524651097156004109e-01 1.913851441934035558e+00 1.647618341098156591e+01
8.568158141963146956e-01 1.922139156481119660e+00 1.644609338885540950e+01
8.612107143401215303e-01 1.930504800090779627e+00 1.641582220680785653e+01
8.656504828742324076e-01 1.938949525649685146e+00 1.638536836120220030e+01
8.701358061969612923e-01 1.947474509379256258e+00 1.635473033457718017e+01
8.746673847259471835e-01 1.956080951434428172e+00 1.632390659557208323e+01
8.792459332570599084e-01 1.964770076521010767e+00 1.629289559885492622e+01
8.838721813343710654e-01 1.973543134532327104e+00 1.626169578505414037e+01
8.885468736315877969e-01 1.982401401205823088e+00 1.623030558069389784e+01
8.932707703453708348e-01 1.991346178800401656e+00 1.619872339813336737e+01
8.980446476009671386e-01 2.000378796795236447e+00 1.616694763551017999e+01
9.028692978706054362e-01 2.009500612610867876e+00 1.613497667668845992e+01
9.077455304051340601e-01 2.018713012353415603e+00 1.610280889121164094e+01
9.126741716793821402e-01 2.028017411582784035e+00 1.607044263426042718e+01
9.176560658517630698e-01 2.037415256105755024e+00 1.603787624661635647e+01
9.226920752386496005e-01 2.046908022794926563e+00 1.600510805463110486e+01
9.277830808040774535e-01 2.056497220434479356e+00 1.597213637020216304e+01
9.329299826653603134e-01 2.066184390593809539e+00 1.593895949075517038e+01
9.381337006152183911e-01 2.075971108530094700e+00 1.590557569923329595e+01
9.433951746610529376e-01 2.085858984120927850e+00 1.587198326409426308e+01
9.487153655820323994e-01 2.095849662828193516e+00 1.583818043931536046e+01
9.540952555046697814e-01 2.105944826694408523e+00 1.580416546440701886e+01
9.595358484976177493e-01 2.116146195372818894e+00 1.576993656443547920e+01
9.650381711864318701e-01 2.126455527192588235e+00 1.573549195005511692e+01
9.706032733890865849e-01 2.136874620260487578e+00 1.570082981755098217e+01
9.762322287730645920e-01 2.147405313600552201e+00 1.566594834889223087e+01
9.819261355348782860e-01 2.158049488333234400e+00 1.563084571179714466e+01
9.876861171029235331e-01 2.168809068895678038e+00 1.559552005981028167e+01
9.935133228646004788e-01 2.179686024304773095e+00 1.555996953239268876e+01
9.994089289186851577e-01 2.190682369464772794e+00 1.552419225502585931e+01
1.005374138853980526e+00 2.201800166521306057e+00 1.548818633933023570e+01
1.011410184555324054e+00 2.213041526263725078e+00 1.545194988319921592e+01
1.017518327038072101e+00 2.224408609577805063e+00 1.541548097094948311e+01
1.023699857312249772e+00 2.235903628950930422e+00 1.537877767348872560e+01
1.029956097277595850e+00 2.247528850031982994e+00 1.534183804850166766e+01
1.036288400650798192e+00 2.259286593248272634e+00 1.530466014065560110e+01
1.042698153926282068e+00 2.271179235481957548e+00 1.526724198182648529e+01
1.049186777371966750e+00 2.283209211808520323e+00 1.522958159134686262e+01
1.055755726061490041e+00 2.295379017300005486e+00 1.519167697627685598e+01
1.062406490944461934e+00 2.307691208895841672e+00 1.515352613169957152e+01
1.069140599956391879e+00 2.320148407344226005e+00 1.511512704104242566e+01
1.075959619170014481e+00 2.332753299217199316e+00 1.507647767642578529e+01
1.082865153989822860e+00 2.345508639002690465e+00 1.503757599904060527e+01
1.089858850391710599e+00 2.358417251276985649e+00 1.499841995955674179e+01
1.096942396209724002e+00 2.371482032961250042e+00 1.495900749856367895e+01
1.104117522472018109e+00 2.384705955665924915e+00 1.491933654704565626e+01
1.111386004788227577e+00 2.398092068127013921e+00 1.487940502689306577e+01
1.118749664790569920e+00 2.411643498738489377e+00 1.483921085145241214e+01
1.126210371631126028e+00 2.425363458185276322e+00 1.479875192611687851e+01
1.133770043537860150e+00 2.439255242181493255e+00 1.475802614896006837e+01
1.141430649432085165e+00 2.453322234318906059e+00 1.471703141141536442e+01
1.149194210610225753e+00 2.467567909030795814e+00 1.467576559900349409e+01
1.157062802492863085e+00 2.481995834676730350e+00 1.463422659211127552e+01
1.165038556444231377e+00 2.496609676754041107e+00 1.459241226682445536e+01
1.173123661665488315e+00 2.511413201242107096e+00 1.455032049581786957e+01
1.181320367165275220e+00 2.526410278085907901e+00 1.450794914930620472e+01
1.189630983811255316e+00 2.541604884825643840e+00 1.446529609605910238e+01
1.198057886466550759e+00 2.557001110379631292e+00 1.442235920448424302e+01
1.206603516215186911e+00 2.572603158988064020e+00 1.437913634378256766e+01
1.215270382680901928e+00 2.588415354325687812e+00 1.433562538517983320e+01
1.224061066443916435e+00 2.604442143791876330e+00 1.429182420323907721e+01
1.232978221560514509e+00 2.620688102987100976e+00 1.424773067725889675e+01
1.242024578190574990e+00 2.637157940385313815e+00 1.420334269276254702e+01
1.251202945338476979e+00 2.653856502212310620e+00 1.415865814308341264e+01
1.260516213713115174e+00 2.670788777540738845e+00 1.411367493105265858e+01
1.269967358713113281e+00 2.687959903613071688e+00 1.406839097079518908e+01
1.279559443543647257e+00 2.705375171404506229e+00 1.402280418964054398e+01
1.289295622471712255e+00 2.723040031438519470e+00 1.397691253015565493e+01
1.299179144227024185e+00 2.740960099868544386e+00 1.393071395230703580e+01
1.309213355556226421e+00 2.759141164840087868e+00 1.388420643576022684e+01
1.319401704938501840e+00 2.777589193148492619e+00 1.383738798232497302e+01
1.329747746471189762e+00 2.796310337208464780e+00 1.379025661855529350e+01
1.340255143934552251e+00 2.815310942352555745e+00 1.374281039851381081e+01
1.350927675045372700e+00 2.834597554476826264e+00 1.369504740671083631e+01
1.361769235909693565e+00 2.854176928053108409e+00 1.364696576122902449e+01
1.372783845685633608e+00 2.874056034528532422e+00 1.359856361704535743e+01
