X,Y,dist,TFA,AMA,ASA
7.186947193356651114e+05,8.467483534547343152e+05,0.000000000000000000e+00,-1.910238270144689565e+01,70.6219661974531,0.06124902130829012
7.187357453145110048e+05,8.467770801543846028e+05,5.008347245409014903e+01,-2.188136996897784314e+01,71.99746131524019,0.09315457161709068
7.187767712933568982e+05,8.468058068540348904e+05,1.001669449081802981e+02,-2.513163293337052551e+01,74.44296747376478,0.11701393013172597
7.188177972722026752e+05,8.468345335536851780e+05,1.502504173622704684e+02,-2.851213103869190491e+01,76.74295757861944,0.12843365422611824
7.188588232510485686e+05,8.468632602533354657e+05,2.003338898163605961e+02,-3.102264347105360898e+01,77.62814495903062,0.14770746126233725
7.188998492298944620e+05,8.468919869529857533e+05,2.504173622704507522e+02,-3.126876341816621618e+01,77.5192237838482,0.13454887427596965
7.189408752087402390e+05,8.469207136526361573e+05,3.005008347245409368e+02,-3.003676830408547005e+01,76.78000077907562,0.10942696645483678
7.189819011875861324e+05,8.469494403522864450e+05,3.505843071786310361e+02,-2.888684544687806266e+01,76.14916837417402,0.10936411239853278
7.190229271664320258e+05,8.469781670519368490e+05,4.006677796327211922e+02,-2.818664083902751827e+01,75.87429791773118,0.15469794806169718
7.190639531452779192e+05,8.470068937515871366e+05,4.507512520868114052e+02,-2.841489773498679128e+01,74.71388534708576,0.18591965824203005
7.191049791241236962e+05,8.470356204512374243e+05,5.008347245409015045e+02,-2.820079980371799167e+01,71.40380903097689,0.15606011725416152
7.191460051029694732e+05,8.470643471508877119e+05,5.509181969949917175e+02,-2.548772719477275928e+01,66.95942292358068,0.15397430452371288
7.191870310818154830e+05,8.470930738505379995e+05,6.010016694490818736e+02,-1.935583160098843436e+01,59.411122678208756,0.1598677087000645
7.192280570606612600e+05,8.471218005501882872e+05,6.510851419031720297e+02,-1.196675937760206310e+01,50.46057051010484,0.1715389096869922
7.192690830395071534e+05,8.471505272498385748e+05,7.011686143572620722e+02,-6.861177181480306864e+00,42.65543176385581,0.17208054839893855
7.193101090183530468e+05,8.471792539494888624e+05,7.512520868113522283e+02,-4.538300436093328116e+00,37.86664321259666,0.10526853357743186
7.193511349971988238e+05,8.472079806491391500e+05,8.013355592654423845e+02,-3.219154697952895994e+00,34.160667217110465,0.08248023967809624
7.193921609760447172e+05,8.472367073487895541e+05,8.514190317195325406e+02,-2.938380324609976668e+00,29.275180068940326,0.09328147828940953
7.194331869548906107e+05,8.472654340484398417e+05,9.015025041736228104e+02,-4.464540260749582323e+00,27.6190152242932,0.09329792500319946
7.194742129337365041e+05,8.472941607480901293e+05,9.515859766277128529e+02,-7.298234257123355384e+00,26.341957627816868,0.08595006066282683
7.195152389125822810e+05,8.473228874477404170e+05,1.001669449081803009e+03,-1.039313828675978968e+01,23.99879417893054,0.07182165280786947
7.195562648914281745e+05,8.473516141473907046e+05,1.051752921535893165e+03,-1.287205859909281536e+01,22.241398973657553,0.08574244999266874
7.195972908702740679e+05,8.473803408470409922e+05,1.101836393989983435e+03,-1.418543960927063985e+01,19.910018942760793,0.13028135004459251
7.196383168491198448e+05,8.474090675466912799e+05,1.151919866444073477e+03,-1.228488210219713217e+01,18.237122030478385,0.1623575205047909
7.196793428279658547e+05,8.474377942463415675e+05,1.202003338898163747e+03,-7.010816525194201176e+00,18.00081106879265,0.11925593748290825
7.197203688068116317e+05,8.474665209459918551e+05,1.252086811352253790e+03,-1.656359189063388415e+00,17.945388461854495,0.12513094579150444
7.197613947856574086e+05,8.474952476456421427e+05,1.302170283806344059e+03,5.165143018446586076e+00,19.543138299260978,0.19736641049090117
7.198024207645034185e+05,8.475239743452924304e+05,1.352253756260433875e+03,1.554673634216544720e+01,25.23463955858296,0.2530270351800223
7.198434467433491955e+05,8.475527010449428344e+05,1.402337228714524144e+03,2.644900709988823451e+01,33.38024422738521,0.29553104972061434
7.198844727221949724e+05,8.475814277445931220e+05,1.452420701168614414e+03,3.498384023333129988e+01,41.826210025667294,0.3397810401358985
7.199254987010408659e+05,8.476101544442434097e+05,1.502504173622704457e+03,3.923659547954653704e+01,52.00263285995584,0.43079683896088483
7.199665246798867593e+05,8.476388811438936973e+05,1.552587646076794726e+03,3.333187473604921536e+01,62.447832870937006,0.48471919622148146
7.200075506587326527e+05,8.476676078435439849e+05,1.602671118530884769e+03,1.665229537466985477e+01,68.73027236087876,0.44011923649002993
7.200485766375784297e+05,8.476963345431942726e+05,1.652754590984975039e+03,-4.032902423585630558e+00,70.78523066535725,0.39089301102175916
7.200896026164243231e+05,8.477250612428445602e+05,1.702838063439065081e+03,-1.980750758241428855e+01,69.22364155682645,0.3370223737913076
7.201306285952702165e+05,8.477537879424949642e+05,1.752921535893155351e+03,-2.731295567384562517e+01,64.2455729067456,0.2512478612478344
7.201716545741159935e+05,8.477825146421452519e+05,1.803005008347245621e+03,-2.909977544573710517e+01,59.66160519456592,0.20589864321003784
7.202126805529620033e+05,8.478112413417955395e+05,1.853088480801335663e+03,-2.792313683684992753e+01,55.67013083237982,0.17446510338401885
7.202537065318077803e+05,8.478399680414458271e+05,1.903171953255425706e+03,-2.571704442490590736e+01,51.94430925553776,0.1468005573117824
7.202947325106535573e+05,8.478686947410962312e+05,1.953255425709515748e+03,-2.377871582822060148e+01,48.6077002025954,0.13255031342551551
7.203357584894995671e+05,8.478974214407465188e+05,2.003338898163606018e+03,-2.141078185045952864e+01,44.458208260676116,0.1359472010203114
7.203767844683453441e+05,8.479261481403968064e+05,2.053422370617696288e+03,-1.807727857722388620e+01,39.085616656461745,0.1169178326637569
