dist,TFA_r,AMA_r,AMA_r_filt,TFA_r_filt,d2x,d2y_AMA_r,d2y_AMA_r_filt
0.0,-1.5519493003249312,1.708074270938868,1.708113457170479,-1.5519503026668535,0.0,0.00010606738998984735,0.0001450291419191207
50.0,-1.471298977239932,1.9732427459134865,2.070686311968281,-1.4994507156585088,50.0,3.652118550351808e-05,-4.136759378306243e-05
100.0,-1.1429491050720062,2.3297141846469,2.3298401823084265,-1.404227306428652,100.0,1.388898802247418e-06,-8.937928169701887e-05
150.0,-2.0406169766705418,2.689657870385932,2.365545848406025,-1.1888095626575077,150.0,-0.00027994719785452775,-9.152932452844116e-05
200.0,-0.3521362139217279,2.349733561488645,2.1724282031825206,-0.9004815447132731,200.0,-0.00021692196428139835,-6.448600167873586e-06
250.0,-0.4764608908067009,1.467504341887862,1.963189057539332,-0.7525141724454975,250.0,0.0004960179091965847,8.828830251229239e-05
300.0,-0.7728527877334872,1.8253198952785408,1.9746706681768744,-0.8209520373921964,300.0,2.9597802399642605e-05,7.870215556159978e-05
350.0,-1.6957849206532831,2.257129954668326,2.1829076677184163,-0.9256665451744784,350.0,-3.0262420938179437e-05,-2.1061385008303014e-05
400.0,-0.2025015157386424,2.613283961712663,2.3384912047392006,-0.9301085257304782,400.0,-0.0001481286890178719,-8.795472910895193e-05
450.0,-1.4076844579152274,2.59911624621232,2.274187918987605,-0.8845491056210472,450.0,-0.00041084595899203207,-4.645457255453387e-05
500.0,-0.5036657225425256,1.5578336332318967,2.093748201849675,-0.8798130083745499,500.0,0.0006917428830097366,4.574872402204608e-05
550.0,-0.8275892613597882,2.245908227775815,2.02768029476686,-0.9411371592353868,550.0,-0.0005777787007877622,7.726610845762263e-05
600.0,-1.2986769190545706,1.489536070350328,2.1547776588281016,-0.9845234812932192,600.0,0.0009958955105840207,1.3017724863343539e-05
650.0,-1.189838814868179,3.2229026893848927,2.314419335047702,-0.9123568808219872,650.0,-0.0011670127950716368,-6.37798399560479e-05
700.0,-0.2399841346557913,2.0387373207403647,2.3146114113771827,-0.7971574412540028,700.0,0.000542387106526672,-5.8189681663152724e-05
750.0,-0.9173407085480518,2.210539718412517,2.1693292835487816,-0.7865987966628486,750.0,-0.0001752663632454654,5.976425979901023e-06
800.0,-1.182942812919768,1.9441762079710057,2.038988220670133,-0.9095305661738844,800.0,-5.334063080525748e-05,3.696527298771244e-05
850.0,-0.3795394973589425,1.5444611205163508,2.0010603402607656,-1.1097694274376957,850.0,0.0006838714799018005,-3.841545081696651e-07
900.0,-2.0807751339383422,2.8544247328161974,1.962172073580974,-1.277050806170967,900.0,-0.0010560629765496235,-3.05869756432962e-05
950.0,-1.338726535652938,1.5242309037419857,1.846816367792942,-1.310253549188675,950.0,0.000465069450112461,1.2690247753005935e-05
1000.0,-0.6706830785353608,1.3567106999489265,1.7631862813874246,-1.2854446900443484,1000.0,0.00030098500962260033,4.34542968812611e-05
1050.0,-1.4697131313566087,1.941653020212368,1.78819193718506,-1.315779962032428,1050.0,-2.386056676665831e-05,7.0285458352692845e-06
1100.0,-1.8678613795698868,2.466943923559164,1.8307689575708688,-1.3419536902738387,1100.0,-0.0007545496765725045,2.1124806711693367e-06
1150.0,-0.6624422632971694,1.1058606354746985,1.8786271796346008,-1.3002991536309738,1150.0,0.0009281977725003758,3.851375902120822e-05
1200.0,-1.4036308555778685,2.0652717786411725,2.0227697992513534,-1.2115218495368063,1200.0,-0.00018057169740561837,1.559402849887519e-05
1250.0,-1.5283992143390384,2.5732536782936006,2.205897490115294,-1.0610008571058116,1250.0,-0.000354448311215447,-4.201567823839909e-05
1300.0,-0.4114034886842908,2.195114799907411,2.2839859853832367,-0.8890586355429589,1300.0,0.0002827732442255657,-3.6191774951948295e-05
1350.0,-1.0137542743475487,2.523909032085136,2.271595043271309,-0.8606500415675898,1350.0,-0.0004064405118404105,3.2471576074326515e-05
1400.0,-0.69331822456757,1.8366019846618349,2.340383041345197,-1.0795450605821544,1400.0,0.0005125736598248985,7.354346244986072e-05
1450.0,-1.4854710740952164,2.43072908680078,2.5930296955437373,-1.4357240852176592,1450.0,0.00018219551798512255,2.2597344439325617e-05
1500.0,-2.144736662181085,3.480344983902531,2.9021697108405915,-1.6604638028360852,1500.0,-0.0007458791161457787,-6.277214934661917e-05
1550.0,-1.6326424331842877,2.665263090639835,3.054379352770898,-1.5799325652148153,1550.0,0.0006331117796307592,-9.621186103472272e-05
1600.0,-1.2590119873438643,3.432960646454037,2.9660593421143973,-1.323527186640146,1600.0,-0.0006904940799221053,-6.823457968600071e-05
1650.0,-0.6332463515273306,2.4744230024629754,2.707152882242895,-1.1793095727566805,1650.0,0.00035410901354648345,-4.047230426939663e-06
1700.0,-1.650144969110278,2.4011578923381225,2.4381283463040435,-1.2763137968630682,1700.0,-0.00010868272809673983,4.754214880989824e-05
1750.0,-1.2931350770401606,2.05618596197142,2.2879591823899377,-1.5103251903361918,1750.0,0.0004406598547104947,5.3735036954297755e-05
1800.0,-1.9972665618853995,2.8128636683809543,2.272127610861576,-1.714491144075747,1800.0,-0.0007851415165274002,4.431696723555625e-05
1850.0,-1.6047422886333509,1.6066875834719878,2.3670884574221054,-1.7851331677236215,1850.0,0.0010639990248664315,2.5325690105624154e-05
1900.0,-2.048112077619048,3.0605090607291,2.525363529246695,-1.7056469185703516,1900.0,-0.0007470078739500661,-1.4467530106868053e-05
1950.0,-0.984255395393659,2.646810853111047,2.6474697758041144,-1.5289433217366766,1950.0,0.00010200010232655767,-3.276034006896573e-05
2000.0,-1.6157472797743584,2.488112901309388,2.6876751721891194,-1.28353156472897,2000.0,0.0001526986189899528,-2.467751563072582e-05
2050.0,-1.2563580148042188,2.711161496982611,2.66618677949731,-0.9508892812463744,2050.0,-2.2284668302216205e-05,-2.4622641536749867e-05
2100.0,-0.3650703788378031,2.878498421900294,2.583141782963626,-0.6303663206286356,2100.0,-0.00035233324172402494,-1.006879187110723e-05
2150.0,-0.3016937696067143,2.165002242507914,2.4749248067521736,-0.5587806019423707,2150.0,0.0003571930696403834,2.2838107915634074e-05
2200.0,-0.4755334747377697,2.344488737216493,2.4238031003298066,-0.823300569037314,2200.0,8.327928732028127e-05,2.7785455156222837e-05
2250.0,-1.9908240788459644,2.732173450225775,2.4421450317979967,-1.2038820583784575,2250.0,-0.0004259963252828321,4.111048581379606e-06
2300.0,-1.1743907629763928,2.0548673500279766,2.470764584719636,-1.4289305146242102,2300.0,0.0005530049659980746,-2.8790548404598402e-05
2350.0,-1.3829416551860845,2.7600736648253648,2.427407766629779,-1.4385238371340627,2350.0,-0.00037073807625260516,-5.308929456340987e-05
2400.0,-1.441762484269544,2.53843478899124,2.2513277121313973,-1.2990350310149452,2400.0,-0.00022142467667953802,-1.4125647642474703e-05
2450.0,-1.1522263711285707,1.7632342214582704,2.039933538526829,-1.0846465998315924,2450.0,0.0002625348720697576,7.401185010056163e-05
2500.0,-0.6762655496983763,1.6443708340996948,2.0135689901736646,-0.9132399142082128,2500.0,0.000380830352486334,0.00010200470603918817
2550.0,-0.7043193612788692,2.477583327956954,2.242216206918471,-0.8811150860475536,2550.0,-0.00022383593613444974,4.8137552394516444e-05
2600.0,-1.6281680609915108,2.751205981478089,2.591207304649568,-0.9723542606418444,2600.0,-0.0001389776378994288,-3.8069945948597806e-06
2650.0,-0.4066321054684444,2.677384540250652,2.930680915893516,-1.1631673604729118,2650.0,0.0002874746591868636,-2.8546666950860988e-05
2700.0,-1.6527479722494087,3.3222497469903742,3.198787859760311,-1.4477178721626796,2700.0,-0.0002795719401597617,-6.155873604312578e-05
2750.0,-2.023008292716081,3.268185103330692,3.312997963519292,-1.7177713673564636,2750.0,0.00012013614400975481,-9.334512976288351e-05
2800.0,-1.6355024019254751,3.5144608196953966,3.193845242871064,-1.850851611997653,2800.0,-0.0003242969731162995,-6.991143765602458e-05
